"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 14 11:17:59 BRT 2023","Wed Jun 14 11:18:07 BRT 2023","8108","Cadastro Chaves criptografia PDV","Excluir","","","","Excluir Chaves criptografia PDV",""
"passed","Wed Jun 14 10:47:35 BRT 2023","Wed Jun 14 10:47:46 BRT 2023","11154","Cadastro Empresa","Cadastro","","","","Cadastrar Empresa",""
"passed","Wed Jun 14 11:22:31 BRT 2023","Wed Jun 14 11:22:41 BRT 2023","9597","Cadastro Interpretação de texto","Alterar","","","","Alterar Interpretação de texto",""
"passed","Wed Jun 14 10:42:50 BRT 2023","Wed Jun 14 10:43:03 BRT 2023","13661","Cadastro Clientes PF","Alterar","","","","Alterar cliente PF",""
"passed","Wed Jun 14 11:13:57 BRT 2023","Wed Jun 14 11:14:12 BRT 2023","15031","Cadastro Imposto Simples","Cadastro","","","","Cadastro Imposto Simples",""
"failed","Wed Jun 14 11:11:45 BRT 2023","Wed Jun 14 11:11:54 BRT 2023","9346","Cadastro Regras de imposto ISS","Excluir","","","","Excluir Regras de imposto ISS",""
"passed","Wed Jun 14 11:03:33 BRT 2023","Wed Jun 14 11:03:46 BRT 2023","13227","Cadastro CFOP","Cadastro","","","","Cadastro CFOP",""
"passed","Wed Jun 14 11:24:46 BRT 2023","Wed Jun 14 11:24:58 BRT 2023","12475","Cadastro Teclas","Cadastro","","","","Cadastro Teclas",""
"passed","Wed Jun 14 10:55:46 BRT 2023","Wed Jun 14 10:55:57 BRT 2023","10758","Cadastro Cadastro de notificação de desconto","Cadastro","","","","Cadastrar Cadastro de notificação de desconto",""
"passed","Wed Jun 14 11:17:15 BRT 2023","Wed Jun 14 11:17:24 BRT 2023","8955","Cadastro Cedulas","Alterar","","","","Alterar Cedulas",""
"passed","Wed Jun 14 11:12:38 BRT 2023","Wed Jun 14 11:12:49 BRT 2023","11427","Cadastro Regras ICMS","Excluir","","","","Excluir Regras ICMS",""
"passed","Wed Jun 14 10:52:41 BRT 2023","Wed Jun 14 10:53:01 BRT 2023","19319","Cadastro Mercadoria","Cadastro","","","","Cadastrar Mercadoria",""
"passed","Wed Jun 14 10:51:17 BRT 2023","Wed Jun 14 10:51:29 BRT 2023","12399","Cadastro Grupo de informações","Cadastro","","","","Cadastro Grupo de informações",""
"passed","Wed Jun 14 10:51:40 BRT 2023","Wed Jun 14 10:51:49 BRT 2023","9369","Cadastro Grupo de informações","Excluir","","","","Excluir Grupo de informações",""
"passed","Wed Jun 14 11:25:08 BRT 2023","Wed Jun 14 11:25:17 BRT 2023","9121","Cadastro Teclas","Excluir","","","","Excluir Teclas",""
"passed","Wed Jun 14 11:18:13 BRT 2023","Wed Jun 14 11:18:24 BRT 2023","10821","Cadastro Combos","Cadastro","","","","Cadastrar Combos",""
"passed","Wed Jun 14 10:55:57 BRT 2023","Wed Jun 14 10:56:06 BRT 2023","8797","Cadastro Cadastro de notificação de desconto","Alterar","","","","Alterar Cadastro de notificação de desconto",""
"passed","Wed Jun 14 11:14:41 BRT 2023","Wed Jun 14 11:14:52 BRT 2023","11019","Cadastro Tributacao pdv","Cadastro","","","","Cadastro Tributacao pdv",""
"failed","Wed Jun 14 11:23:13 BRT 2023","Wed Jun 14 11:23:21 BRT 2023","7729","Cadastro Interpretação de TEF","Excluir","","","","Excluir Interpretação de TEF",""
"failed","Wed Jun 14 11:22:56 BRT 2023","Wed Jun 14 11:23:05 BRT 2023","8939","Cadastro Interpretação de TEF","Cadastro","","","","Cadastrar Interpretação de TEF",""
"passed","Wed Jun 14 11:03:09 BRT 2023","Wed Jun 14 11:03:18 BRT 2023","8836","Cadastro Veiculos","Alterar","","","","Alterar Veiculos",""
"passed","Wed Jun 14 11:15:01 BRT 2023","Wed Jun 14 11:15:10 BRT 2023","8829","Cadastro Tributacao pdv","Excluir","","","","Excluir Tributacao pdv",""
"passed","Wed Jun 14 11:21:11 BRT 2023","Wed Jun 14 11:21:21 BRT 2023","9112","Cadastro Intermediador","Alterar","","","","Alterar Intermediador",""
